RiderID,RaceName,RaceType,Year,Position,BikeNumber,RiderURL,Rider1,Rider2,Machine,Time,Speed
4338,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,25,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4338,Gary Carswell,,,,0
8349,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,27,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8349,John Burrows,,,,0
9823,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,34,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9823,Robert Barber,,,,0
9870,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,35,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9870,Russell Mountford,,,,0
4547,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,36,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4547,Paul Owen,,,,0
9562,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,37,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9562,Stephen Thompson,,,,0
9864,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,40,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9864,Ben Wylie,,,,0
9786,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,43,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9786,Roger Maher,,,,0
8462,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,45,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8462,Simon FULTON,,,,0
10076,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,49,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10076,Robert  Wilson,,,,0
9903,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,52,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9903,Brian McCormack,,,,0
8291,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,55,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8291,James Mccullagh,,,,0
9849,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,56,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9849,Oliver Linsdell,,,,0
4539,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,59,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4539,Paul Duckett,,,,0
4487,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,62,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4487,Fabrice Miguet,,,,0
8270,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,64,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8270,Alan Connor,,,,0
9997,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,70,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9997,Grant Wagstaff,,,,0
9908,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,71,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9908,James Hurrell,,,,0
9929,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,73,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9929,Brandon Cretu,,,,0
10151,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,78,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10151,Jamie Hamilton,,,,0
10152,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,79,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10152,Jimmy Storrar,,,,0
10153,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,81,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10153,Michael Niblett,,,,0
10154,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,84,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10154,Lee Johnston,,,,0
8529,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,69,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8529,Daniel JANSEN,,,,0
3753,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,1,1,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=3753,Dave Molyneux,Patrick Farrance,600 DMR,00:04.3,113.055
9884,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,2,5,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9884,Ben Birchall,Tom  Birchall,600 LCR Honda,00:26.6,112.359
4160,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,3,4,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4160,Conrad Harrison,Mike Aylott,600 Shelbourne Honda,00:40.9,111.919
4400,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,4,6,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4400,Gary Bryan,Jamie Winn,600 Baker Honda,01:32.8,110.346
9805,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,5,12,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9805,Robert Handcock,Ken Edwards,600 Shelbourne Honda,03:14.9,107.376
4263,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,6,19,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4263,Mike Cookson,Kris Hibberd,600 IRESON HONDA,03:31.0,106.923
9918,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,7,27,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9918,Gary Knight,Dan Knight,600 DMR Kawasaki,03:42.1,106.612
9499,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,8,35,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9499,Frank Lelias,Charlie Richardson,600 LCR Honda,03:52.9,106.313
8407,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,9,31,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8407,John Saunders,Shaun Parker,600 Shelbourne Honda,04:19.2,105.588
4407,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,10,21,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4407,Tony Thirkell,Nigel Barlow,600 MR Equipe Honda,04:27.8,105.354
8389,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,11,23,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8389,Francois Leblond,Johnathan Huet,600 Shelbourne Suzuki,04:55.7,104.597
